OriginAirportID,DestAirportID,num_flights,origin_city,origin_state,origin_name,dest_city,dest_state,dest_name,origin_IATA,origin_airport,origin_country,origin_latitude,origin_longitude,dest_IATA,dest_airport,dest_country,dest_latitude,dest_longitude
10140,10397,565,Albuquerque,NM,Albuquerque International Sunport,Atlanta,GA,Hartsfield-Jackson Atlanta International,ABQ,Albuquerque International,USA,35.04022222,-106.6091944,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10299,10397,67,Anchorage,AK,Ted Stevens Anchorage International,Atlanta,GA,Hartsfield-Jackson Atlanta International,ANC,Ted Stevens Anchorage International,USA,61.17432028,-149.9961856,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10423,10397,1714,Austin,TX,Austin - Bergstrom International,Atlanta,GA,Hartsfield-Jackson Atlanta International,AUS,Austin-Bergstrom International,USA,30.19453278,-97.66987194,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10693,10397,2084,Nashville,TN,Nashville International,Atlanta,GA,Hartsfield-Jackson Atlanta International,BNA,Nashville International,USA,36.12447667,-86.67818222,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10721,10397,3306,Boston,MA,Logan International,Atlanta,GA,Hartsfield-Jackson Atlanta International,BOS,Gen Edw L Logan Intl,USA,42.3643475,-71.00517917,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10792,10397,1662,Buffalo,NY,Buffalo Niagara International,Atlanta,GA,Hartsfield-Jackson Atlanta International,BUF,Buffalo Niagara Intl,USA,42.94052472,-78.73216667,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
10821,10397,4176,Baltimore,MD,Baltimore/Washington International Thurgood Marshall,Atlanta,GA,Hartsfield-Jackson Atlanta International,BWI,Baltimore-Washington International,USA,39.17540167,-76.66819833,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11042,10397,1603,Cleveland,OH,Cleveland-Hopkins International,Atlanta,GA,Hartsfield-Jackson Atlanta International,CLE,Cleveland-Hopkins Intl,USA,41.41089417,-81.84939667,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11057,10397,4045,Charlotte,NC,Charlotte Douglas International,Atlanta,GA,Hartsfield-Jackson Atlanta International,CLT,Charlotte Douglas International,USA,35.21401111,-80.94312583,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11066,10397,2058,Columbus,OH,Port Columbus International,Atlanta,GA,Hartsfield-Jackson Atlanta International,CMH,Port Columbus Intl,USA,39.99798528,-82.89188278,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11259,10397,950,Dallas,TX,Dallas Love Field,Atlanta,GA,Hartsfield-Jackson Atlanta International,DAL,Dallas Love ,USA,32.84711389,-96.85177222,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11292,10397,2937,Denver,CO,Denver International,Atlanta,GA,Hartsfield-Jackson Atlanta International,DEN,Denver Intl,USA,39.85840806,-104.6670019,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11433,10397,2980,Detroit,MI,Detroit Metro Wayne County,Atlanta,GA,Hartsfield-Jackson Atlanta International,DTW,Detroit Metropolitan-Wayne County,USA,42.21205889,-83.34883583,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
11618,10397,3045,Newark,NJ,Newark Liberty International,Atlanta,GA,Hartsfield-Jackson Atlanta International,EWR,Newark Intl,USA,40.69249722,-74.16866056,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12173,10397,213,Honolulu,HI,Honolulu International,Atlanta,GA,Hartsfield-Jackson Atlanta International,HNL,Honolulu International,USA,21.31869111,-157.9224072,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12191,10397,2721,Houston,TX,William P Hobby,Atlanta,GA,Hartsfield-Jackson Atlanta International,HOU,William P X,USA,29.64541861,-95.27888889,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12191,10397,2721,Houston,TX,William P Hobby,Atlanta,GA,Hartsfield-Jackson Atlanta International,IAH,George Bush Intercontinental,USA,29.98047222,-95.33972222,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12266,10397,3017,Houston,TX,George Bush Intercontinental/Houston,Atlanta,GA,Hartsfield-Jackson Atlanta International,HOU,William P X,USA,29.64541861,-95.27888889,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12266,10397,3017,Houston,TX,George Bush Intercontinental/Houston,Atlanta,GA,Hartsfield-Jackson Atlanta International,IAH,George Bush Intercontinental,USA,29.98047222,-95.33972222,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12339,10397,2355,Indianapolis,IN,Indianapolis International,Atlanta,GA,Hartsfield-Jackson Atlanta International,IND,Indianapolis International,USA,39.71732917,-86.29438417,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12451,10397,3283,Jacksonville,FL,Jacksonville International,Atlanta,GA,Hartsfield-Jackson Atlanta International,JAX,Jacksonville International,USA,30.49405556,-81.68786111,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
12478,10397,1163,New York,NY,John F. Kennedy International,Atlanta,GA,Hartsfield-Jackson Atlanta International,JFK,John F Kennedy Intl,USA,40.63975111,-73.77892556,ATL,William B Hartsfield-Atlanta Intl,USA,33.64044444,-84.42694444
