origin_state,origin_city,num_flights,origin_latitude,origin_longitude,dest_latitude,dest_longitude,type,counties,population,latitude,longitude
AK,Anchorage,8142,1039.9634447600001,-2549.9351552,617.3202247,-1864.93506472,Municipality,Anchorage,291247,61.218,-149.885
AZ,Phoenix,91958,1905.7475001900002,-6384.4591692,2104.64540692,-5672.31984905,City,Maricopa,1608139,33.448,-112.074
AZ,Tucson,11106,545.9734166100001,-1885.9974726,642.62365915,-1750.27250107,City,Pima,542629,32.222,-110.973
CA,Burbank,14376,410.40743004,-1420.3019628000002,476.01359833000004,-1324.47884753,City,Los Angeles,107337,34.182,-118.31
CA,Long Beach,8347,439.63038886,-1535.9709443,532.52652889,-1416.55407344,City,Los Angeles,466742,33.768,-118.192
CA,Los Angeles,123925,1731.06934161,-6038.8117944000005,1887.27212387,-5029.47213868,City,Los Angeles,3898747,34.052,-118.243
CA,Oakland,26313,943.0322707500001,-3055.5179175,899.04620722,-2714.33534822,City,Alameda,440646,37.804,-122.271
CA,Ontario,12121,476.784,-1646.4167216,537.98807249,-1543.10281252,City,San Bernardino,175265,34.063,-117.651
CA,Sacramento,25197,1044.77638509,-3282.9507063,987.6424580400001,-2856.42899796,City,Sacramento,524943,38.577,-121.496
CA,San Diego,47486,1309.3422444,-4687.586268,1453.0350022,-4005.2664016,City,San Diego,1386932,32.716,-117.165
CA,San Francisco,89045,1730.4740892399998,-5629.242791799999,1705.77893443,-4634.34219213,City,San Francisco,873965,37.78,-122.414
CA,San Jose,24530,934.0465485,-3048.2252225,913.67865027,-2628.39332801,City,Santa Clara,1013240,37.336,-121.891
CA,Santa Ana,24297,707.18883081,-2475.2326725000003,800.59302942,-2161.19083974,City,Orange,310227,33.745,-117.868
CO,Denver,99215,2351.6460755400003,-6175.3531121000005,2175.09796749,-5783.54474193,City,Denver,715522,39.739,-104.987
FL,Jacksonville,15358,792.84544456,-2123.88438886,960.85870917,-2195.86420492,City,Duval,949611,30.328,-81.657
FL,Miami,44877,954.35025,-2970.75055572,1366.08368585,-3261.6841272,City,Miami-Dade,442241,25.774,-80.192
FL,Orlando,61974,1393.01555561,-3984.48536122,1827.53178306,-4403.70544443,City,Orange,307573,28.543,-81.378
FL,Tampa,36100,1146.99436102,-3383.86325,1519.70085946,-3552.43009021,City,Hillsborough,384959,27.949,-82.458
GA,Atlanta,141038,1984.7862219600001,-4981.18972196,2183.56762834,-5564.51253,City,DeKalb;Fulton,498715,33.749,-84.39
HI,Honolulu,17179,469.01120442,-3474.2929584000003,842.48707054,-2391.37432675,Census-Designated Place,Honolulu,350964,21.306,-157.86
HI,Kahului,11144,250.78379664000002,-1877.1654936,466.89695888,-1493.2135303,Census-Designated Place,Maui,28219,20.891,-156.467
IL,Chicago,329336,8544.088905,-17917.00263822,7515.5370572,-19605.45195098,City,Cook;DuPage,2746388,41.882,-87.628
IN,Indianapolis,18350,1151.80254593,-2502.53714093,1065.95499501,-2564.10922832,City,Marion,887642,39.769,-86.158
KY,Louisville,11788,916.1853333600001,-2057.664,898.6593883400001,-2063.06590692,Metro Government,Jefferson,633045,38.257,-85.757
LA,New Orleans,29238,1049.76861115,-3159.0309723,1299.25838723,-3133.567498,City,Orleans,383997,29.957,-90.063
MA,Boston,65027,2075.8530275,-3479.2537793300003,1805.38753778,-4507.39814061,City,Suffolk,675647,42.359,-71.057
MD,Baltimore,47662,1841.24387849,-3603.40532151,1715.03011861,-4251.70901053,City,Baltimore City,585708,39.289,-76.615
MI,Detroit,63930,2026.17882672,-4000.74411984,1804.70133334,-4325.26160865,City,Wayne,639111,42.332,-83.047
MN,Minneapolis,62679,2423.54953476,-5033.713815,2040.09641334,-5044.32792808,City,Hennepin,429954,44.977,-93.272
MO,Kansas City,34093,1571.9042112,-3788.5562224,1497.93215888,-3748.40142279,City,Clay;Platte;Jackson;Cass,508090,39.104,-94.583
NC,Charlotte,74272,1795.91456661,-4128.09941733,1893.0670219600001,-4608.2777961,City,Mecklenburg,874579,35.227,-80.843
NE,Omaha,16014,826.0503722,-1917.8834612,752.78876389,-1839.19434497,City,Douglas,486051,41.26,-95.94
NJ,Newark,60742,2116.00985544,-3856.7703491200004,1919.0378783400001,-4869.19750893,City,Essex,311549,40.736,-74.172
NM,Albuquerque,18306,946.08599994,-2878.4482488000003,1003.80142804,-2687.2426009,City,Bernalillo,564559,35.084,-106.652
